query_id,query_text,language,global_best_match
Q001,leather boots,en,Global Brand Product
Q002,handmade basket,en,Global Brand Product
Q003,African dress,en,Global Brand Product
Q004,beaded necklace,en,Global Brand Product
Q005,wooden bowl,en,Global Brand Product
Q006,wall art,en,Global Brand Product
Q007,leather bag,en,Global Brand Product
Q008,cotton shirt,en,Global Brand Product
Q009,silver earrings,en,Global Brand Product
Q010,traditional pottery,en,Global Brand Product
Q011,woven mat,en,Global Brand Product
Q012,copper bracelet,en,Global Brand Product
Q013,kitenge fabric,en,Global Brand Product
Q014,peace basket,en,Global Brand Product
Q015,leather sandals,en,Global Brand Product
Q016,African jewelry,en,Global Brand Product
Q017,handmade purse,en,Global Brand Product
Q018,bamboo basket,en,Global Brand Product
Q019,Rwandan art,en,Global Brand Product
Q020,local crafts,en,Global Brand Product
Q021,leather wallet,en,Global Brand Product
Q022,African print dress,en,Global Brand Product
Q023,handwoven basket,en,Global Brand Product
Q024,clay pot,en,Global Brand Product
Q025,wooden sculpture,en,Global Brand Product
Q026,beaded bracelet,en,Global Brand Product
Q027,traditional basket,en,Global Brand Product
Q028,leather handbag,en,Global Brand Product
Q029,African necklace,en,Global Brand Product
Q030,handmade jewelry,en,Global Brand Product
Q031,sisal basket,en,Global Brand Product
Q032,Rwandan dress,en,Global Brand Product
Q033,leather belt,en,Global Brand Product
Q034,wooden frame,en,Global Brand Product
Q035,traditional earrings,en,Global Brand Product
Q036,cotton dress,en,Global Brand Product
Q037,raffia basket,en,Global Brand Product
Q038,Rwandan jewelry,en,Global Brand Product
Q039,handmade bag,en,Global Brand Product
Q040,African basket,en,Global Brand Product
Q041,bottes en cuir,fr,Global Brand Product
Q042,sac en cuir,fr,Global Brand Product
Q043,robe africaine,fr,Global Brand Product
Q044,collier en perles,fr,Global Brand Product
Q045,bol en bois,fr,Global Brand Product
Q046,art mural,fr,Global Brand Product
Q047,panier tresse,fr,Global Brand Product
Q048,chemise en coton,fr,Global Brand Product
Q049,boucles d oreilles,fr,Global Brand Product
Q050,poterie traditionnelle,fr,Global Brand Product
Q051,natte tissee,fr,Global Brand Product
Q052,bracelet en cuivre,fr,Global Brand Product
Q053,tissu kitenge,fr,Global Brand Product
Q054,panier de paix,fr,Global Brand Product
Q055,sandales en cuir,fr,Global Brand Product
Q056,bijoux africains,fr,Global Brand Product
Q057,sac a main,fr,Global Brand Product
Q058,panier en bambou,fr,Global Brand Product
Q059,art rwandais,fr,Global Brand Product
Q060,artisanat local,fr,Global Brand Product
Q061,portefeuille en cuir,fr,Global Brand Product
Q062,robe imprimee africaine,fr,Global Brand Product
Q063,panier artisanal,fr,Global Brand Product
Q064,pot en argile,fr,Global Brand Product
Q065,sculpture en bois,fr,Global Brand Product
Q066,bracelet perle,fr,Global Brand Product
Q067,panier traditionnel,fr,Global Brand Product
Q068,sac en cuir fait main,fr,Global Brand Product
Q069,collier africain,fr,Global Brand Product
Q070,bijoux faits main,fr,Global Brand Product
Q071,cadeau en cuir pour femme,fr,Global Brand Product
Q072,cadeau artisanal rwanda,fr,Global Brand Product
Q073,bijoux rwandais,fr,Global Brand Product
Q074,sac fait main,fr,Global Brand Product
Q075,panier africain,fr,Global Brand Product
Q076,robe rwandaise,fr,Global Brand Product
Q077,ceinture en cuir,fr,Global Brand Product
Q078,cadre en bois,fr,Global Brand Product
Q079,boucles traditionnelles,fr,Global Brand Product
Q080,robe en coton,fr,Global Brand Product
Q081,leather bag Kigali,mixed,Global Brand Product
Q082,agaseke basket Rwanda,mixed,Global Brand Product
Q083,imigongo art Rwanda,mixed,Global Brand Product
Q084,kitenge dress Kigali,mixed,Global Brand Product
Q085,Rwanda handmade jewelry,mixed,Global Brand Product
Q086,local leather boots Rwanda,mixed,Global Brand Product
Q087,made in Rwanda basket,mixed,Global Brand Product
Q088,Kigali artisan bag,mixed,Global Brand Product
Q089,Rwanda traditional art,mixed,Global Brand Product
Q090,handmade Rwanda gift,mixed,Global Brand Product
Q091,leather sandal Nyamirambo,mixed,Global Brand Product
Q092,Rwanda beaded necklace,mixed,Global Brand Product
Q093,Kigali wooden bowl,mixed,Global Brand Product
Q094,Rwanda clay pot,mixed,Global Brand Product
Q095,handcrafted Rwanda,mixed,Global Brand Product
Q096,local artisan Rwanda,mixed,Global Brand Product
Q097,Rwanda copper bracelet,mixed,Global Brand Product
Q098,Kigali fashion,mixed,Global Brand Product
Q099,Rwanda eco basket,mixed,Global Brand Product
Q100,artisanat Kigali,mixed,Global Brand Product
Q101,sac Kigali leather,mixed,Global Brand Product
Q102,Rwanda sisal mat,mixed,Global Brand Product
Q103,bijoux Kigali,mixed,Global Brand Product
Q104,panier Rwanda artisan,mixed,Global Brand Product
Q105,robe Kigali local,mixed,Global Brand Product
Q106,Rwanda gift basket,mixed,Global Brand Product
Q107,Kigali traditional craft,mixed,Global Brand Product
Q108,Rwanda women cooperative,mixed,Global Brand Product
Q109,agaseke Kigali,mixed,Global Brand Product
Q110,Rwanda sustainable fashion,mixed,Global Brand Product
Q111,lether boots,mixed,Global Brand Product
Q112,handmde basket,mixed,Global Brand Product
Q113,afican dress,mixed,Global Brand Product
Q114,beeded necklace,mixed,Global Brand Product
Q115,wooven basket,mixed,Global Brand Product
Q116,claay pot,mixed,Global Brand Product
Q117,leathr bag,mixed,Global Brand Product
Q118,africn jewelry,mixed,Global Brand Product
Q119,rwandan bascket,mixed,Global Brand Product
Q120,kitenge cloths,mixed,Global Brand Product
